"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NALCN",1.4050886973601e-143,1.01659303787239,0.253,0.107,3.38837139368388e-139,"2","NALCN"
"ZFP36L2",4.23099307335716e-135,1.25636833696219,0.278,0.134,1.02030397964008e-130,"2","ZFP36L2"
"TTC28",6.33926626441161e-135,0.954540934119412,0.615,0.538,1.52871405966286e-130,"2","TTC28"
"MRC2",4.15806728247559e-134,1.16353705015303,0.292,0.144,1.00271792516899e-129,"2","MRC2"
"TBC1D8",1.79184201982835e-133,1.2351319862335,0.319,0.167,4.32102703081606e-129,"2","TBC1D8"
"C1RL",3.79552465988784e-133,1.06749882193409,0.263,0.121,9.15290771731954e-129,"2","C1RL"
"CPQ",4.11122834782669e-132,1.1334037058053,0.304,0.153,9.91422716078406e-128,"2","CPQ"
"RBMS1",4.15353203653436e-132,1.1680588252118,0.483,0.351,1.00162425061026e-127,"2","RBMS1"
"ZBTB16",3.02214345742171e-131,0.930837070503134,0.692,0.665,7.28789894757246e-127,"2","ZBTB16"
"SNX9",3.78380208759948e-130,1.25083552752701,0.424,0.283,9.12463873424614e-126,"2","SNX9"
"FTH1",4.77615419490969e-125,1.38703748251072,0.341,0.194,1.15176958410247e-120,"2","FTH1"
"ATP13A3",3.34128079470673e-123,1.10688867789428,0.319,0.174,8.05749863643528e-119,"2","ATP13A3"
"SAT1",1.74972667236363e-120,1.06681877720421,0.278,0.135,4.2194658704049e-116,"2","SAT1"
"PLEKHA5",1.06411666851931e-117,1.07081676806676,0.472,0.343,2.56611734613431e-113,"2","PLEKHA5"
"CADPS2",5.64418319814009e-117,0.957455772549432,0.404,0.254,1.36109477823148e-112,"2","CADPS2"
"ALCAM",5.39553227581409e-116,1.08425957789759,0.321,0.174,1.30113260831257e-111,"2","ALCAM"
"NFIA",6.53490552048689e-116,0.605130915572066,0.813,0.838,1.57589246626541e-111,"2","NFIA"
"SYNJ2",1.20554267899846e-114,1.10275117119859,0.292,0.154,2.9071661704048e-110,"2","SYNJ2"
"PPP3CA",1.00592050981972e-112,1.01536170922722,0.344,0.198,2.42577730943027e-108,"2","PPP3CA"
"PARD3B",1.1148161759085e-108,0.828063248834668,0.651,0.613,2.68837920820335e-104,"2","PARD3B"
"RBPMS",1.00785414163976e-101,1.05422008252658,0.308,0.172,2.43044026256428e-97,"2","RBPMS"
"NFE2L2",5.19656642039168e-100,1.04161198314758,0.394,0.267,1.25315199227745e-95,"2","NFE2L2"
"EHBP1",2.07796841587381e-99,0.995140617850042,0.446,0.322,5.01102083487969e-95,"2","EHBP1"
"ZFHX3",4.35917562860377e-99,0.881109081454274,0.593,0.531,1.0512152028378e-94,"2","ZFHX3"
"KLRD1",1.20433300979542e-96,1.14224934253491,0.34,0.214,2.90424905312167e-92,"2","KLRD1"
"ADAMTSL3",1.88891956943997e-96,1.16335602276209,0.446,0.323,4.55512954170448e-92,"2","ADAMTSL3"
"NHS",1.05882218216647e-93,1.12406599828138,0.336,0.21,2.55334969229445e-89,"2","NHS"
"TPT1",7.14676715558746e-93,1.07338047846077,0.297,0.172,1.72344289956992e-88,"2","TPT1"
"FCHSD2",1.56321627494397e-91,1.03629204747047,0.466,0.364,3.76969604702737e-87,"2","FCHSD2"
"URB1",2.06411996981786e-89,1.03974092165254,0.264,0.146,4.97762530721578e-85,"2","URB1"
"FNDC3A",1.08871606810834e-86,1.1314153699533,0.389,0.278,2.62543879824327e-82,"2","FNDC3A"
"CRTC3",6.90454223597275e-84,1.03893753017269,0.295,0.178,1.66503036020483e-79,"2","CRTC3"
"PAM",1.50753276261593e-83,0.878528708792301,0.521,0.448,3.63541525704832e-79,"2","PAM"
"ABCD3",4.95120716617469e-81,0.9584291214255,0.285,0.171,1.19398360812303e-76,"2","ABCD3"
"TENM2",8.3833815313831e-79,1.12475932428328,0.45,0.35,2.02165245629303e-74,"2","TENM2"
"DENND5A",6.61546615688426e-78,0.897127521425757,0.275,0.16,1.59531966373264e-73,"2","DENND5A"
"TACC1",7.49799955497951e-78,0.851022157655667,0.565,0.503,1.80814259268331e-73,"2","TACC1"
"STK3",1.15374280935916e-76,0.940237665479413,0.407,0.301,2.78225078476961e-72,"2","STK3"
"AC092957.1",1.66199012786862e-76,0.865447481130868,0.494,0.387,4.00788919335518e-72,"2","AC092957.1"
"BACH1",2.63735515082284e-76,0.939482968634759,0.257,0.147,6.35998194620928e-72,"2","BACH1"
