"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SDF2L1",0.322634937290357,-0.153161428882871,2.27780162611851,-0.0672408989117572,0.946389926159451,0.99961583089597
"VCL",8.23577270008658,-0.153276698884029,0.644271003001508,-0.237907182179468,0.811953084859208,0.99961583089597
"TMED5",1.73328526356707,-0.153437510600079,1.26552931539216,-0.12124374262522,0.903497978047704,0.99961583089597
"TBL1XR1",19.0276919040304,-0.153453842484987,0.509464607670061,-0.30120609003004,0.763257346177489,0.99961583089597
"BFAR",1.44970156786355,-0.153572185690872,1.47006486418066,-0.104466265015092,0.916799338383497,0.99961583089597
"SS18L1",1.58124964572502,-0.154094236403215,1.35279323837598,-0.113908195304261,0.909310568942166,0.99961583089597
"CD99L2",1.80276056108657,-0.15409537744747,1.22861026571776,-0.125422505205462,0.900189072215721,0.99961583089597
"NUMB",12.0145562416315,-0.154290014646963,0.6612590270774,-0.233327649724324,0.815506989676658,0.99961583089597
"P4HTM",0.578515481339538,-0.15454111532851,1.7326743118087,-0.0891922470802882,0.928929126755443,0.99961583089597
"PPP2R5A",4.20814632596748,-0.154746632308491,0.819689436747711,-0.188786905590099,0.850259835122822,0.99961583089597
"ZNF181",0.410057017260528,-0.154882709619595,2.51755824919241,-0.0615210034045006,0.950944287788618,0.99961583089597
"KIAA0040",1.06474400369892,-0.155341586772357,1.62353524345225,-0.0956810684577698,0.923773877087851,0.99961583089597
"SSH1",6.89456621013308,-0.155855063780804,0.645220857157996,-0.24155304660686,0.809126508101825,0.99961583089597
"RPS2",3.95329612087435,-0.156334140754597,0.889156206983286,-0.175823032586147,0.860432974127745,0.99961583089597
"SHROOM1",2.06622042043098,-0.156764479173786,1.15878420467473,-0.135283583035886,0.892387664587888,0.99961583089597
"GOLGA7B",0.447236901600309,-0.156919534159798,2.25550499856747,-0.0695717962316472,0.944534485876652,0.99961583089597
"A1BG",0.447236901600309,-0.156919534159798,2.25550499856747,-0.0695717962316472,0.944534485876652,0.99961583089597
"EXOC1",4.79205553015957,-0.156971966487032,0.819128700945249,-0.191632848789075,0.848029809747059,0.99961583089597
"SLCO3A1",14.4696714359634,-0.157199311641301,0.619414377001198,-0.253786992162432,0.799660123268015,0.99961583089597
"NGRN",1.69064867495746,-0.157233173956214,1.29614408707665,-0.121308406622323,0.903446761673393,0.99961583089597
"POGLUT1",0.477101434956219,-0.157241163004803,2.37934307431751,-0.0660859565407173,0.947309391465705,0.99961583089597
"ANAPC16",6.07442223606488,-0.157293614252204,0.834638357176376,-0.188457207723278,0.850518257710798,0.99961583089597
"PPP1R3C",0.383192311760163,-0.158239617452056,2.53006624308331,-0.0625436657576264,0.950129889736042,0.99961583089597
"MAP2K5",10.3094436006262,-0.158258568932772,0.536309016817204,-0.295088398610148,0.767926351907774,0.99961583089597
"CLDN12",1.44227305409554,-0.158880288969539,1.42994684498134,-0.111109227260551,0.911529731755023,0.99961583089597
"CNOT6L",10.512100359881,-0.159736912214888,0.567825892662672,-0.281313188213104,0.778470195856724,0.99961583089597
"TMEM192",1.87284641004527,-0.159822595084466,1.50767671216383,-0.106005878975929,0.915577687723237,0.99961583089597
"GRIA2",3.29227637627898,-0.15990033580539,1.16810227312649,-0.136888986079453,0.891118544715855,0.99961583089597
"AC008969.1",1.12735629650079,-0.160085180549308,1.43191825093668,-0.111797709432497,0.910983803746882,0.99961583089597
"UTP18",1.33590416273519,-0.160223465178804,1.40393296651069,-0.114124726038039,0.909138921732547,0.99961583089597
"HMBOX1",8.26449017859916,-0.160325463395289,0.587568728547147,-0.272862485026591,0.784958925175186,0.99961583089597
